"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33"
"1";-4,25031161550732e-07;1,11114967298832e-07;2,66538997589242e-07;2,96634104511386e-07;2,01151517968734e-07;1,61931704003362e-07;9,27000686199272e-08;5,97951257225142e-08;5,3207641425615e-08;4,40996012986345e-08;2,55862540359187e-08;2,65422031777219e-08;1,23532079549303e-08;9,28680712193236e-09;4,14157980731881e-09;4,32094867848178e-09;5,27039608396122e-10;-3,42873175517501e-09;1,08813168421947e-10;-6,77321492105637e-10;1,98360547415169e-10;-2,60373185288542e-10;-1,21704808131354e-09;-9,54562369403935e-10;1,55518166716322e-10;4,52326684596043e-10;3,72685669264267e-10;3,35949229326388e-10;-3,73947840136725e-10;-1,04447521778748e-10;3,27094652823625e-10;2,71689081424725e-10;-7,33317470795146e-10
"2";-1,526250236445e-07;3,84801194337613e-07;3,98193025859888e-07;2,97060956986792e-07;2,41645291895476e-07;2,09852876828268e-07;1,23661754400029e-07;9,5300574998999e-08;8,22672379629432e-08;5,88554559228784e-08;5,70845552186432e-08;3,66729945369817e-08;2,02705482446768e-08;1,87089485152849e-08;1,190860062053e-08;6,64979094751903e-09;8,94041578000739e-09;5,00093994917412e-09;1,68450433217551e-09;1,55108069773697e-09;-1,19950226260047e-09;1,72277189143657e-09;9,03844636626519e-10;-1,74227918170401e-09;-1,4128655846282e-09;-1,09453899193901e-09;-1,50645995570812e-09;-8,4499889851333e-10;2,4201670344614e-10;-8,4635053936251e-11;-1,04873487487807e-09;-3,83129143704083e-10;5,94197477487269e-10
"3";-6,83470585604383e-07;-1,57259383991612e-07;7,6457227995372e-08;1,29094808841662e-07;1,3044288440933e-07;1,10250628319681e-07;7,29780135355875e-08;3,1550199808227e-08;1,64794715232611e-08;2,32842520950424e-10;-1,19335192238762e-09;-3,94719583972451e-10;5,01426896309813e-09;2,41145461937243e-09;3,92646117722791e-09;2,7621748418919e-09;4,86617801956579e-10;1,48484528639278e-09;1,15751887643883e-10;1,81525705046272e-09;-2,68472277450727e-09;-1,38399404570414e-09;2,71174434272181e-10;1,17616813288202e-09;8,33731676565627e-10;9,22053763250126e-10;4,65680599416879e-10;5,03352420936449e-10;2,72729246268749e-10;5,56204945633754e-10;6,89080181475512e-10;6,60223190785885e-10;4,67931421635811e-10
"4";-4,56198071820762e-07;1,78333254752299e-08;2,00520696674703e-07;2,30314601929016e-07;1,74875844248581e-07;1,53740146439141e-07;9,3146596367262e-08;6,62242365373401e-08;8,21139319494463e-08;3,46691451018663e-08;2,77490897636358e-08;1,72395319442759e-08;1,24072920046714e-08;7,01402046697178e-09;1,13301903538826e-08;8,07481858077694e-09;3,07615514653493e-09;1,03345172968426e-08;6,69408103339714e-09;4,15406837537505e-09;3,33437329480208e-09;1,19009991180407e-09;2,56909207478553e-09;1,68050704667336e-09;7,41199336146366e-10;7,25474295894399e-10;5,53237600232164e-10;-1,68337811180924e-10;-5,18297867581826e-10;-1,08753913126485e-09;-1,13506110964371e-09;-5,51702825752337e-10;-5,99166786468274e-10
"5";-3,89957408334702e-07;2,17537596278554e-07;4,19006574264523e-07;3,67817482597855e-07;2,57257411491428e-07;2,02907210682814e-07;1,23031180876964e-07;1,05117083983635e-07;7,87875093023226e-08;6,20684849612837e-08;4,16017029120769e-08;2,49543411330188e-08;9,43496934182147e-09;3,15698447721409e-09;3,13750282263035e-09;3,65007470541139e-09;9,3063372273718e-09;3,24435574969409e-09;4,29842042255546e-09;3,68977422547827e-09;3,10061492110715e-09;1,1916018355029e-09;2,11153846423785e-09;-3,09615736311488e-10;-7,53602547341379e-10;1,50689188272848e-09;1,79730979359567e-09;1,88864780349071e-09;1,86194702493992e-09;1,69271257638836e-09;8,31422423899797e-10;9,44054753750601e-10;7,37835652961564e-10
"6";-3,06945450229877e-07;2,5492081959535e-07;3,24419202959359e-07;3,03350791937269e-07;2,56732001564198e-07;1,78359889880046e-07;1,35347381816621e-07;8,71057310596823e-08;6,21439840452372e-08;3,86155027328559e-08;2,91945768960234e-08;2,45071163510437e-08;1,45893940863034e-08;1,22399645806206e-08;8,3087950242391e-09;8,52212076969089e-09;2,88769273907355e-09;4,6391078773221e-10;5,78542867326742e-10;-2,66519431269352e-09;-3,27103156498545e-09;-4,52987128714497e-09;-4,22394238226293e-09;-2,11500010405632e-09;1,37632352261104e-10;1,41135264756431e-09;2,30255070498978e-09;4,14839330725834e-10;4,43831378243666e-10;-1,52546997864186e-10;-5,14728162394486e-10;-7,34281243890778e-10;-1,47199651738737e-09
"7";2,307377161739e-07;7,39334397078186e-07;6,31816332468931e-07;4,46430220237036e-07;3,24490023255173e-07;1,96257313524017e-07;1,85269579509621e-07;1,22341820079004e-07;7,51821699226957e-08;5,10891598506234e-08;3,10967397844045e-08;3,51009355071407e-08;3,37636113662603e-08;2,00708047811143e-08;9,31267074477273e-09;6,51367852506744e-09;7,84948364132216e-09;3,85731038913254e-09;5,15158876456456e-09;5,64701916299807e-09;1,65580986239605e-09;2,96364684537803e-09;3,57025334351429e-09;1,1520283704785e-09;2,33675272454839e-09;2,65318514845485e-09;2,10734161771105e-09;1,50511654231555e-09;2,57970407382551e-09;1,16166134076132e-09;2,52736000318186e-10;4,35114825020759e-10;-2,99441752878932e-10
"8";-3,03334056545814e-07;1,82704621663655e-07;2,80129639010178e-07;2,86806120223285e-07;2,44948630349174e-07;2,01331313678632e-07;1,75498472667527e-07;1,25621924044509e-07;8,03779708845361e-08;6,33430679141936e-08;3,87818154956797e-08;3,17504417721907e-08;1,83007065544783e-08;9,63545452102282e-09;-5,76122212793227e-10;-7,92021091633448e-09;-7,10213541885189e-09;-4,09683749397798e-09;-3,39937321576753e-09;-4,92423170346546e-10;-2,77419758786271e-09;-2,05305603076689e-09;5,43156193411798e-10;-1,32311160721764e-09;-8,25501480834697e-10;-1,47435615784163e-09;-1,13785363265698e-09;-5,94086297294792e-10;-1,05523236840751e-09;-6,82464328923115e-10;-5,59276384635063e-10;3,16399915090287e-10;7,32642128708426e-10
"9";-3,67800079122095e-07;2,22538929139331e-07;2,70831485827197e-07;3,34029480687315e-07;2,5314248330797e-07;1,96502346493359e-07;1,28186650758404e-07;7,37192336531767e-08;5,38382374002919e-08;4,77652413488613e-08;2,30559682915516e-08;2,54335919442417e-08;1,84766796385541e-08;1,25163344149763e-08;1,39269101267571e-08;8,3642466104174e-09;3,22593968313833e-09;5,46836897174639e-10;-6,17409482871105e-10;-8,43242778390605e-10;3,26385456112615e-10;2,0449493916711e-09;-4,68351550986589e-10;-1,31683018579843e-09;-4,49114659637793e-11;1,04270915446308e-09;-7,10088868123163e-10;-1,39346053949774e-11;-9,1214127179959e-10;-5,89849887523094e-10;7,79225978554095e-10;-1,79140245821288e-11;2,29171562757507e-10
"10";-1,81428598818533e-07;3,92461721723411e-07;4,56609848475016e-07;4,33657432151655e-07;3,69510741099372e-07;2,87367805463454e-07;2,09358675343674e-07;1,47918451374269e-07;1,07504822980492e-07;8,78959493308639e-08;7,36774065390164e-08;3,93447955445075e-08;4,0122613152249e-08;2,03416507494274e-08;9,21335179859879e-09;2,0746397532768e-10;-1,99823459288037e-09;-9,37754917543116e-10;-1,44790281013598e-09;-2,083357862793e-09;-3,75042117245648e-09;-5,76985759889085e-09;-4,98192283149069e-09;-4,31543647333142e-09;-4,55294035699719e-09;-3,06123011121441e-09;-1,41551332896952e-09;-2,40986465681491e-09;-1,88296150204707e-09;-6,77374644572589e-10;-7,9211405056225e-10;-2,17312962544278e-10;3,49402659005313e-10
"11";-4,09434488279331e-07;1,80425115183659e-07;2,6632552591006e-07;2,67701331756881e-07;2,3982872957902e-07;1,9428628800529e-07;1,43770425624571e-07;1,00148875971292e-07;7,57183353735763e-08;5,25824478480322e-08;3,16983789251582e-08;1,80931078290398e-08;8,0736040790378e-09;6,8781854358259e-09;3,56945232240508e-09;4,05239023248743e-10;-1,30007963071637e-09;-2,21646818188948e-10;-4,10933200864098e-12;8,6928163114625e-11;1,53796222038778e-09;5,15169007476391e-10;-1,71739609337645e-09;-1,49985093743605e-09;-1,9514511235396e-09;-1,69538113801155e-10;1,12815977632749e-09;-2,48384346609622e-10;-9,15439081736466e-10;-1,52985719790875e-09;-7,96428772803744e-10;-1,10615891317646e-09;-6,46599098324184e-10
